turbine_id,overall_score,priority,component_scores,turbine_details,recommendations,remaining_fit_years,fit_expiry_date,repowering_window,latitude,longitude,postcode,window_priority
3177,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.901437371663244, 'capacity_mw': 0.006, 'location': 'West Devon - South West - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.095824777549623,2029-09-24 00:00:00,URGENT,50.73856946642285,-3.5679409050247433,EX20,0.0
3257,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.304585900068446, 'capacity_mw': 0.011, 'location': 'South Lanarkshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.692676249144422,2030-04-30 00:00:00,URGENT,55.79740139172679,-3.844476854705377,ML12,0.0
3278,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.271731690622861, 'capacity_mw': 0.006, 'location': 'Calderdale - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.725530458590007,2030-05-12 00:00:00,URGENT,54.469146146604274,-3.5273664547227113,HX6 ,0.0
3669,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.211498973305956, 'capacity_mw': 0.005, 'location': 'Na h-Eileanan Siar - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.785763175906913,2030-06-03 00:00:00,URGENT,57.801815299779996,-7.042645933789111,HS2 ,0.0
4100,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.271731690622861, 'capacity_mw': 0.011, 'location': 'Ryedale - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.725530458590007,2030-05-12 00:00:00,URGENT,53.91415862577886,-0.9879746971270948,YO62,0.0
4102,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.255304585900069, 'capacity_mw': 0.006, 'location': 'Kirklees - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.741957563312799,2030-05-18 00:00:00,URGENT,53.67679208202291,-1.5404096279371928,WF4 ,0.0
4110,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.772758384668036, 'capacity_mw': 0.003, 'location': 'Highland - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.224503764544832,2029-11-10 00:00:00,URGENT,57.47713570777092,-4.25479962647166,IV24,0.0
4120,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.195071868583161, 'capacity_mw': 0.015, 'location': 'Perth and Kinross - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.802190280629706,2030-06-09 00:00:00,URGENT,56.36635201861199,-3.3812639017580537,PH3 ,0.0
4122,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.236139630390143, 'capacity_mw': 0.015, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.761122518822724,2030-05-25 00:00:00,URGENT,55.0897620833269,-3.6494665131962325,DG9 ,0.0
4156,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.28268309377139, 'capacity_mw': 0.005, 'location': 'Sheffield - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.714579055441479,2030-05-08 00:00:00,URGENT,53.350589968383325,-1.4656459252503597,S35 ,0.0
4164,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.233401779603012, 'capacity_mw': 0.006, 'location': 'Aberdeenshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.763860369609857,2030-05-26 00:00:00,URGENT,57.10203528002638,-2.08262100715174,AB45,0.0
4304,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.219712525667351, 'capacity_mw': 0.015, 'location': 'Aberdeenshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.777549623545517,2030-05-31 00:00:00,URGENT,57.171665174698965,-2.0604090395585875,AB45,0.0
4440,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.211498973305956, 'capacity_mw': 0.006, 'location': 'Orkney Islands - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.785763175906913,2030-06-03 00:00:00,URGENT,58.96260421529363,-2.959309766453899,KW17,0.0
4466,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.236139630390143, 'capacity_mw': 0.015, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.761122518822724,2030-05-25 00:00:00,URGENT,55.025873171336045,-3.6438924675663884,DG9 ,0.0
4620,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.38945927446954, 'capacity_mw': 0.1, 'location': 'Cornwall - South West - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.607802874743326,2030-03-30 00:00:00,URGENT,50.28595582518743,-5.028004433225328,TR18,0.0
4852,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.43874058863792, 'capacity_mw': 0.055, 'location': 'Aberdeenshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.558521560574949,2030-03-12 00:00:00,URGENT,57.129847360602916,-2.128595678038061,AB30,0.0
5241,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.890485968514716, 'capacity_mw': 0.005, 'location': 'Highland - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.1067761806981515,2029-09-28 00:00:00,URGENT,57.45751844426752,-4.225788356393972,IV22,0.0
5258,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.403148528405202, 'capacity_mw': 0.006, 'location': 'Gwynedd - Wales - Wales', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.594113620807666,2030-03-25 01:00:00,URGENT,53.31056957088105,-3.795407103033978,LL39,0.0
5290,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.449691991786448, 'capacity_mw': 0.005, 'location': 'Cornwall - South West - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.547570157426421,2030-03-08 00:00:00,URGENT,50.239232253377125,-5.036357900728045,TR13,0.0
5304,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.693360711841205, 'capacity_mw': 0.0025, 'location': 'City of Edinburgh - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.303901437371663,2029-12-09 00:00:00,URGENT,55.954997892203544,-3.2273757436555095,EH14,0.0
5469,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.159479808350445, 'capacity_mw': 0.006, 'location': 'Scottish Borders - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.837782340862423,2030-06-22 00:00:00,URGENT,55.95538612260837,-3.2299205216311724,EH37,0.0
5591,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.132101300479125, 'capacity_mw': 0.005, 'location': 'Scottish Borders - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.865160848733744,2030-07-02 00:00:00,URGENT,55.50433566213664,-2.7399171290597324,TD10,0.0
5715,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.121149897330595, 'capacity_mw': 0.0025, 'location': 'Highland - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.876112251882272,2030-07-06 00:00:00,URGENT,59.00444167923552,-3.0052798246371513,KW14,0.0
5895,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.381245722108146, 'capacity_mw': 0.006, 'location': 'Highland - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.616016427104722,2030-04-02 00:00:00,URGENT,57.4602575187142,-4.266241016831178,IV55,0.0
5903,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.67419575633128, 'capacity_mw': 0.005, 'location': 'Cornwall - South West - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.323066392881588,2029-12-16 00:00:00,URGENT,50.22099114801013,-5.041701650858918,TR27,0.0
5908,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.411362080766597, 'capacity_mw': 0.006, 'location': 'Powys - Wales - Wales', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.58590006844627,2030-03-22 01:00:00,URGENT,52.67658341677036,-2.792207455780864,SY15,0.0
6005,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.304585900068446, 'capacity_mw': 0.005, 'location': 'South Lanarkshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.692676249144422,2030-04-30 00:00:00,URGENT,55.72368795461737,-3.7524963136685474,ML10,0.0
6055,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.271731690622861, 'capacity_mw': 0.015, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.725530458590007,2030-05-12 00:00:00,URGENT,55.054644067091914,-3.636890566944953,DG8 ,0.0
6352,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.482546201232033, 'capacity_mw': 0.015, 'location': 'Angus - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.514715947980835,2030-02-24 00:00:00,URGENT,56.43553455968367,-3.0152188568815594,DD8 ,0.0
6353,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.449691991786448, 'capacity_mw': 0.006, 'location': 'Shetland Islands - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.547570157426421,2030-03-08 00:00:00,URGENT,60.19689556296381,-1.1242678570524618,ZE2 ,0.0
6397,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.383983572895277, 'capacity_mw': 0.011, 'location': 'East Riding of Yorkshire - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.61327857631759,2030-04-01 00:00:00,URGENT,53.938634572087125,-1.0143410448039896,YO16,0.0
6447,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.745379876796715, 'capacity_mw': 0.006, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.251882272416153,2029-11-20 00:00:00,URGENT,55.04497226912859,-3.612020795381949,DG8 ,0.0
6521,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.863107460643395, 'capacity_mw': 0.006, 'location': 'Aberdeenshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.134154688569473,2029-10-08 00:00:00,URGENT,57.168356653890434,-2.1392759606480025,AB33,0.0
6583,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.408624229979466, 'capacity_mw': 0.013699999999999999, 'location': 'South Ayrshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.588637919233402,2030-03-23 01:00:00,URGENT,55.62863390312139,-4.640216437847522,KA1 ,0.0
6690,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.249828884325805, 'capacity_mw': 0.011, 'location': 'Ryedale - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.747433264887063,2030-05-20 00:00:00,URGENT,53.9172192909716,-1.022469244152244,YO17,0.0
6744,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.38945927446954, 'capacity_mw': 0.02, 'location': 'Shetland Islands - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.607802874743326,2030-03-30 00:00:00,URGENT,60.124427725562185,-1.1464658365055749,ZE2 ,0.0
6775,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.132101300479125, 'capacity_mw': 0.011, 'location': 'Kirklees - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.865160848733744,2030-07-02 00:00:00,URGENT,53.829231929229415,-1.7656684555140154,BD19,0.0
6789,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.83025325119781, 'capacity_mw': 0.015, 'location': 'Aberdeenshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.167008898015058,2029-10-20 00:00:00,URGENT,57.192597314449344,-2.0776201914945354,AB54,0.0
6855,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.093771389459274, 'capacity_mw': 0.015, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.903490759753593,2030-07-16 00:00:00,URGENT,55.02054635689347,-3.5663245606088836,DG8 ,0.0
6872,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 16.021902806297057, 'capacity_mw': 0.006, 'location': 'East Renfrewshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",3.975359342915811,2029-08-11 00:00:00,URGENT,55.82261918589811,-4.290926725666487,G77 ,0.0
6880,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.277207392197125, 'capacity_mw': 0.005, 'location': 'Calderdale - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.720054757015743,2030-05-10 00:00:00,URGENT,53.62352558522461,-1.7503672668060426,HD6 ,0.0
6888,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.159479808350445, 'capacity_mw': 0.022, 'location': 'Kirklees - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.837782340862423,2030-06-22 00:00:00,URGENT,53.68596541746674,-1.807654605205123,HD7 ,0.0
6895,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.071868583162217, 'capacity_mw': 0.01499, 'location': 'Harrogate - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.9253935660506505,2030-07-24 00:00:00,URGENT,53.9970628870218,-1.5329285588275712,HG5 ,0.0
6970,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.044490075290897, 'capacity_mw': 0.02999, 'location': 'Harrogate - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.952772073921971,2030-08-03 00:00:00,URGENT,53.986022963079954,-1.525015421169192,HG5 ,0.0
